	larva(0)
mom_x(694)	912
mom_x(695)	911
mom_x(696)	912
mom_x(697)	912
mom_x(698)	912
mom_x(699)	913
mom_x(700)	914
mom_x(701)	914
mom_x(702)	915
mom_x(703)	916
mom_x(704)	917
mom_x(705)	917
mom_x(706)	918
mom_x(707)	919
mom_x(708)	919
mom_x(709)	919
mom_x(710)	921
mom_x(711)	924
mom_x(712)	924
mom_x(713)	925
mom_x(714)	927
mom_x(715)	928
mom_x(716)	928
mom_x(717)	928
mom_x(718)	929
mom_x(719)	929
mom_x(720)	930
mom_x(721)	930
mom_x(722)	931
mom_x(723)	932
mom_x(724)	933
mom_x(725)	934
mom_x(726)	935
mom_x(727)	935
mom_x(728)	936
mom_x(729)	936
mom_x(730)	937
mom_x(731)	937
mom_x(732)	937
mom_x(733)	935
mom_x(734)	935
mom_x(735)	935
mom_x(736)	935
mom_x(737)	934
mom_x(738)	934
mom_x(739)	936
mom_x(740)	937
mom_x(741)	938
mom_x(742)	940
mom_x(743)	941
mom_x(744)	942
mom_x(745)	941
mom_x(746)	942
mom_x(747)	941
mom_x(748)	941
mom_x(749)	941
mom_x(750)	941
mom_x(751)	943
mom_x(752)	945
mom_x(753)	946
mom_x(754)	947
mom_x(755)	947
mom_x(756)	948
mom_x(757)	949
mom_x(758)	950
mom_x(759)	951
mom_x(760)	952
mom_x(761)	956
mom_x(762)	956
mom_x(763)	957
mom_x(764)	957
mom_x(765)	958
mom_x(766)	956
mom_x(767)	955
mom_x(768)	956
mom_x(769)	957
mom_x(770)	958
mom_x(771)	958
mom_x(772)	959
mom_x(773)	960
mom_x(774)	959
mom_x(775)	959
mom_x(776)	960
mom_x(777)	962
mom_x(778)	964
mom_x(779)	966
mom_x(780)	969
mom_x(781)	970
mom_x(782)	970
mom_x(783)	971
mom_x(784)	972
mom_x(785)	973
mom_x(786)	973
mom_x(787)	975
mom_x(788)	976
mom_x(789)	977
mom_x(790)	978
mom_x(791)	978
mom_x(792)	978
mom_x(793)	979
mom_x(794)	981
mom_x(795)	981
mom_x(796)	980
mom_x(797)	980
mom_x(798)	982
mom_x(799)	982
mom_x(800)	984
mom_x(801)	985
mom_x(802)	986
mom_x(803)	988
mom_x(804)	989
mom_x(805)	989
mom_x(806)	989
mom_x(807)	990
mom_x(808)	990
mom_x(809)	991
mom_x(810)	992
mom_x(811)	993
mom_x(812)	995
mom_x(813)	995
mom_x(814)	996
mom_x(815)	996
mom_x(816)	997
mom_x(817)	999
mom_x(818)	1001
mom_x(819)	1001
mom_x(820)	1001
mom_x(821)	1002
mom_x(822)	1002
mom_x(823)	1004
mom_x(824)	1006
mom_x(825)	1007
mom_x(826)	1008
mom_x(827)	1009
mom_x(828)	1010
mom_x(829)	1011
mom_x(830)	1011
mom_x(831)	1013
mom_x(832)	1015
mom_x(833)	1015
mom_x(834)	1014
mom_x(835)	1014
mom_x(836)	1016
mom_x(837)	1015
mom_x(838)	1015
mom_x(839)	1016
mom_x(840)	1017
mom_x(841)	1019
mom_x(842)	1020
mom_x(843)	1020
mom_x(844)	1021
mom_x(845)	1021
mom_x(846)	1021
mom_x(847)	1022
mom_x(848)	1023
mom_x(849)	1024
mom_x(850)	1024
mom_x(851)	1024
mom_x(852)	1024
mom_x(853)	1025
mom_x(854)	1026
mom_x(855)	1027
mom_x(856)	1029
mom_x(857)	1029
mom_x(858)	1030
mom_x(859)	1031
mom_x(860)	1032
mom_x(861)	1034
mom_x(862)	1035
mom_x(863)	1034
mom_x(864)	1034
mom_x(865)	1034
mom_x(866)	1034
mom_x(867)	1035
mom_x(868)	1034
mom_x(869)	1035
mom_x(870)	1036
mom_x(871)	1036
mom_x(872)	1036
mom_x(873)	1037
mom_x(874)	1037
mom_x(875)	1037
mom_x(876)	1038
mom_x(877)	1038
mom_x(878)	1039
mom_x(879)	1038
mom_x(880)	1037
mom_x(881)	1035
mom_x(882)	1033
mom_x(883)	1032
mom_x(884)	1033
mom_x(885)	1033
mom_x(886)	1033
mom_x(887)	1033
mom_x(888)	1033
mom_x(889)	1032
mom_x(890)	1032
mom_x(891)	1035
mom_x(892)	1036
mom_x(893)	1035
mom_x(894)	1036
mom_x(895)	1036
mom_x(896)	1036
mom_x(897)	1039
mom_x(898)	1034
mom_x(899)	1034
mom_x(900)	1034
mom_x(901)	1034
mom_x(902)	1034
mom_x(903)	1034
mom_x(904)	1034
mom_x(905)	1034
mom_x(906)	1034
mom_x(907)	1035
mom_x(908)	1035
mom_x(909)	1036
mom_x(910)	1037
mom_x(911)	1037
mom_x(912)	1039
mom_x(913)	1040
mom_x(914)	1040
mom_x(915)	1041
mom_x(916)	1040
mom_x(917)	1040
mom_x(918)	1041
mom_x(919)	1042
mom_x(920)	1045
mom_x(921)	1044
mom_x(922)	1045
mom_x(923)	1046
mom_x(924)	1046
mom_x(925)	1046
mom_x(926)	1047
mom_x(927)	1046
mom_x(928)	1047
mom_x(929)	1048
mom_x(930)	1049
mom_x(931)	1050
mom_x(932)	1053
mom_x(933)	1053
mom_x(934)	1052
mom_x(935)	1052
mom_x(936)	1052
mom_x(937)	1053
mom_x(938)	1054
mom_x(939)	1054
mom_x(940)	1055
mom_x(941)	1056
mom_x(942)	1056
mom_x(943)	1057
mom_x(944)	1057
mom_x(945)	1057
mom_x(946)	1058
mom_x(947)	1059
mom_x(948)	1060
mom_x(949)	1062
mom_x(950)	1063
mom_x(951)	1064
mom_x(952)	1065
mom_x(953)	1064
mom_x(954)	1064
mom_x(955)	1065
mom_x(956)	1066
mom_x(957)	1069
mom_x(958)	1069
mom_x(959)	1069
mom_x(960)	1070
mom_x(961)	1069
mom_x(962)	1070
mom_x(963)	1070
mom_x(964)	1070
mom_x(965)	1070
mom_x(966)	1071
mom_x(967)	1071
mom_y(0)	1033
mom_y(1)	1035
mom_y(2)	1036
mom_y(3)	1038
mom_y(4)	1041
mom_y(5)	1043
mom_y(6)	1044
mom_y(7)	1044
mom_y(8)	1046
mom_y(9)	1046
mom_y(10)	1047
mom_y(11)	1048
mom_y(12)	1051
mom_y(13)	1053
mom_y(14)	1055
mom_y(15)	1055
mom_y(16)	1056
mom_y(17)	1056
mom_y(18)	1058
mom_y(19)	1063
mom_y(20)	1064
mom_y(21)	1066
mom_y(22)	1068
mom_y(23)	1068
mom_y(24)	1068
mom_y(25)	1072
mom_y(26)	1074
mom_y(27)	1075
mom_y(28)	1074
