Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_464_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-22																																													
Time: 				10:32																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
D7	696	11360	19291	23474	25365	26127	27406	28236	28746	29578	30179	30368	29648	29618	28818	28201	27203	26503	26044	25429	25974	25235	25378	25605	25818	26068	25740	25912	25968	26414	26482	26134	26571	26444	26341	26634	26772	26469	26753	26600	26922	27007	27120	27288	27460	27264	27384	27852	27656
D8	592	2862	4846	5837	6291	6925	7233	7378	7491	7646	7623	8024	7871	8014	8092	7936	8236	8307	8319	8221	8536	8469	8567	8813	8482	8522	8773	8760	8856	8931	8799	8791	8902	9063	9021	8848	9001	9021	8922	9206	9266	9268	9221	9281	9502	9509	9322	9484	9589
D9	813	9521	16124	19584	21630	23536	24315	24886	25759	26335	26783	27253	27628	27567	28044	28320	29011	28549	29449	29799	29237	30398	29760	30331	29861	30777	29966	31538	30158	30777	31009	30303	31301	31740	30283	31946	30301	31285	32151	31019	31974	32452	31249	31760	32584	31772	31528	31933	32364
D10	760	8600	14730	18843	20900	22813	23877	25170	26412	26918	27529	28590	27232	26584	26428	26024	24923	24070	23133	23491	23163	23725	23154	24063	23762	24491	24096	25046	23899	25109	24004	25439	24568	25277	24668	25789	25476	25886	25738	25102	25814	26446	25395	26058	26340	25809	26022	26084	25904
D11	582	8175	15189	19117	21486	23670	25945	27708	29584	30909	32365	34514	33739	34274	33571	33929	33290	33191	33260	33388	33618	33674	33769	34162	34078	35203	34525	35992	35610	36095	35862	36583	36189	36663	37381	37059	36690	37379	38074	37503	37214	37831	37960	37828	38239	38162	38494	39020	39805
D12																																																	
E1																																																	
E2	791	9646	15002	18007	19214	20445	20757	21286	21882	22360	22546	21034	19588	18729	18398	17840	16798	15507	15191	15008	15065	15076	15097	15404	15031	15448	15462	15495	15400	15217	15201	15518	15452	15391	15311	15292	15453	15567	15642	15503	15624	15911	15671	15786	15862	15715	15737	15622	15851
E3	1004	12591	20945	24608	25221	26562	25820	26387	26475	27073	27467	26125	24827	24403	24167	23013	22145	21298	21199	21031	21101	20858	20989	21063	20836	21416	21258	21244	21080	21213	21247	21610	21515	21327	21575	21549	21654	21530	21576	21533	21687	21551	21402	21430	21648	21640	21616	21411	21818
E4	1047	12370	20939	25400	27131	28893	29625	30446	30759	31604	32179	32090	32778	32878	33382	34079	34230	34393	34871	34847	35272	35080	35607	35530	35721	35929	36152	35683	36412	35349	36235	35965	36339	37047	36044	36819	36416	36718	36898	36741	37205	37521	37290	37239	37386	37421	37391	37614	37813
