Method name: masterkurs2018_n2a_undifferentiated																																														
Application: SparkControl				1.1																																										
Device: SPARK 10M				Serial number: 1511007580																																										
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																										
 																																														
Date: 				2018-01-10																																										
Time: 				11:00																																										
System 				PC-2WPML82																																										
User 				NT-AUTORITÄT\NETZWERKDIENST																																										
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																										
Lid lifter 				Removable lid 																																										
Humidity Cassette 				No humidity cassette 																																										
																																														
List of actions in this measurement script:																																														
Plate																																														
	Temperature																																													
	Gas 																																													
	User intervention																																													
	Kinetic																																													
		Luminescence				RTG																																								
		Condition																																												
			User intervention																																											
																																														
Plate layout																																														
Name				GRE96fw_chimney																																										
																																														
D1	13896	115323	141851	159344	173846	183707	190923	189021	196145	201385	203501	205267	207966	210679	212743	214313	215882	215060	215797	217181	217746	219982	219483	219847	222156	222594	223761	225187	227083	226618	229337	229283	230874	233138	236231	237911	241593	242980	245377	248664	249874	253337	258139	260968	263054	267502
D2	11668	104509	139724	151259	164383	173663	180733	173734	183352	188110	189701	193320	195012	197149	199942	200009	201547	202283	202240	204502	204173	206504	206588	207542	208808	210650	210609	211066	212675	214921	215331	215741	216517	219440	220155	223946	224538	226374	228455	231618	232521	234727	238178	239413	242748	245947
D3	12199	98875	134825	146745	159266	169386	176112	166250	177348	182932	185252	187129	189321	191217	193683	195183	196798	196405	197070	198556	200140	199760	200720	201777	203222	203078	205086	206947	206850	208347	209115	210791	212440	214039	214008	217708	218784	220837	223616	225535	228858	230142	232614	235567	238437	240027
D4	12223	126964	170459	191002	207549	219071	229576	216134	229620	234887	237282	242306	244424	247938	250914	253305	253146	255230	256294	256684	258394	259265	259341	261655	260628	262763	264532	265528	266221	267065	269352	270883	271374	273580	275134	276316	279481	281478	283705	285324	286700	290344	292967	295092	298283	301101
D5	11296	111731	150805	169708	184370	194326	205565	193518	208460	213383	214372	216758	221114	223102	226334	226689	228158	229073	229553	231480	231928	232947	234769	236026	235746	237496	238422	239856	240808	241751	244083	243827	245395	247009	249401	251479	253557	254954	257706	258573	262310	263252	267382	269707	273063	275448
D6	11365	112462	164867	188004	206242	218978	227862	217618	233173	238435	241158	245169	246574	252616	254449	258253	257736	258740	259778	260377	263369	263678	264925	267589	270454	269263	270186	272352	273690	274497	276917	278400	280988	282272	285794	286242	288857	291016	292700	294897	297478	299579	302151	304476	308129	312231
D7	9478	80931	121258	138451	154915	166930	175102	166652	178970	183116	185484	188229	189959	191630	194673	195609	197408	198903	198685	200325	200625	201569	202059	202542	205112	205720	205651	206939	207395	208624	208996	210269	212227	213205	214399	217088	217879	218138	221496	222612	224912	225832	227944	230968	234033	237190
D8	10535	94778	139925	159726	177308	188954	197204	187523	199923	205726	207879	208888	212148	214128	216119	217279	218844	218734	219055	219174	220474	220835	220694	222436	222574	223682	225006	225785	226536	226344	225337	227558	227934	230730	229872	233421	235732	235840	237914	240032	240554	244031	245507	246878	250380	253079
D9	10069	84821	125054	144000	164769	177814	187226	180877	189154	196581	198080	201778	204524	206785	209043	210307	213230	213645	214666	216035	217717	217056	218184	219444	219678	220450	220681	222543	223082	222950	224252	224874	223928	225334	226474	227434	229827	232144	234355	235330	236803	239084	241533	243441	245593	247420
D10	12802	112275	155696	181333	199669	212831	222228	213273	226589	236994	245295	249347	252636	256870	261761	265982	267566	269452	271654	268059	270721	272624	276651	277649	279035	283606	287369	288746	292976	294589	299256	300589	305752	310392	313630	318088	321142	324021	327826	330156	334532	339204	343499	347138	349538	353340
D11	10246	96097	140612	164939	186302	199301	208783	217447	222025	229186	234684	239237	241651	245651	248148	250636	253530	254966	256039	258124	259390	262488	263780	265024	267451	270887	273243	275305	276912	279874	283238	286566	289477	292160	297372	300917	304390	308217	312189	316054	318748	324297	327470	333617	336117	342082
D12	461	393	364	383	428	466	469	622	592	608	673	699	747	868	930	919	969	1032	1155	1035	1126	1171	1161	1293	1295	1304	1298	1341	1385	1306	1361	1376	1412	1361	1497	1574	1473	1594	1640	1546	1657	1694	1766	1738	1719	1804
E1	13508	97358	117339	135171	148540	157401	162363	153139	164561	171598	176002	178176	181084	183172	184482	187149	188734	190288	191590	193349	195717	197205	199120	201574	203406	206570	208625	211360	214744	216673	219997	221952	224404	229005	233073	236445	239440	243282	247855	249991	253322	256002	258937	263328	265604	268047
E2	9613	74932	100652	109209	120217	127674	133051	123347	133504	139800	143104	145751	147410	149568	152040	154111	155032	156960	157700	160655	161387	164547	165353	167537	169361	171277	174473	177114	178638	181799	184043	186228	189197	191827	195093	198656	200617	203125	205284	208958	211334	213941	216334	219650	222657	224714
E3	11669	100387	139662	147163	161445	171053	176995	160996	177257	184852	189569	192606	195563	197311	199804	201559	204323	206200	207645	209996	214479	214447	214305	219392	220838	223666	226274	229789	231387	234855	238765	241465	244678	247447	251516	254518	258167	262327	264460	267317	270366	274666	278166	280622	282101	287101
E4	10536	97252	134781	160455	176512	187951	196536	179301	200015	205715	211852	215433	219192	221181	224217	227568	229354	230825	232676	235744	237013	239016	241864	245632	246114	248605	252319	254433	256034	258700	262982	266073	268195	271825	275664	280119	283905	286407	289803	292576	295229	298906	304225	306623	309090	312911
E5	7448	71373	98446	109248	122247	130948	136902	128878	140768	145646	149543	151193	153476	156005	159089	159798	162505	163831	165466	166642	169464	171245	173012	175016	177015	179263	180996	184513	186698	189993	193133	195557	198278	201029	204375	207013	210678	213018	217008	219497	222978	225213	229152	232293	235292	237234
E6	10827	118822	165760	189896	210001	224014	233244	219301	239541	247707	253594	256682	260547	262105	265260	266905	269283	271301	273667	276181	276918	278293	280038	280871	283555	285825	289134	291367	294852	297281	301262	301812	306444	308684	313053	316252	320266	323506	328583	330364	333391	336723	341446	342812	348128	350578
E7	11736	102431	149467	176895	197414	208785	217283	196697	216764	222989	227479	231647	233849	235832	237856	240155	242055	242396	244094	245441	247185	248920	249888	251572	253625	255741	257270	261172	261956	266323	269848	269837	272278	276620	279860	283268	286914	289641	293092	295547	298784	301029	305399	308390	310498	314060
E8	10882	87114	123215	143873	162341	173150	179939	167301	180967	187365	192419	195198	198983	201795	204609	207594	208706	210618	212741	214222	216677	217540	220120	221588	223917	225149	227236	229195	231109	233158	236713	238978	240058	244279	246061	249054	251837	254466	257589	258780	262753	266502	268922	270086	273195	276618
E9	8983	73555	112014	135258	152771	165018	172942	165589	175684	182918	187130	190244	194504	196835	199137	201877	203347	205577	205960	207734	209950	211411	212517	214631	216613	219173	221659	223760	226464	227127	229356	231620	234026	236141	239636	241151	245891	249183	251341	254562	257140	261645	263841	266113	269578	271408
E10	9992	86049	125267	139009	156484	169272	177669	180075	186474	193903	199402	203779	207353	210967	213547	215524	219218	219345	222278	224696	225661	227937	229633	231031	232656	236072	239191	241106	242463	246526	250076	252258	253144	257887	259511	264171	266980	271800	274361	276051	278774	284650	285812	289560	292939	295935
E11	10314	88901	121434	136737	152892	164134	171018	167366	180253	185973	190171	193906	195426	198426	201643	203320	203703	205231	207577	208709	210485	211509	213721	215926	216526	218606	221252	222283	224531	227275	230071	231677	234248	237263	239252	242191	245587	248524	251379	253916	255970	260354	262223	267043	268803	271327
E12																																														
F1	18428	126905	150543	179898	196854	205773	213717	199184	213754	221120	226705	230988	233471	236709	237571	243036	241958	244121	246200	248352	249538	251269	252628	256428	257335	259702	263393	266228	267667	272614	274787	276678	279592	285257	288672	293579	296574	301632	304692	307036	311876	315947	318898	322897	325714	331418
